State_Year,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE
District of Columbia1996,1996,District of Columbia,187.13467,Mathematics,4,79802,678874,57870,0,621004,703245,334893,312944,39956,15452
District of Columbia1992,1992,District of Columbia,192.6005531,Mathematics,4,0,709480,64749,0,644731,742893,329160,316679,0,47272
District of Columbia2000,2000,District of Columbia,193.2897745,Mathematics,4,70762,881423,184825,0,696598,858807,318260,429891,23107,87549
Mississippi1992,1992,Mississippi,201.8282612,Mathematics,4,0,1684706,277706,901199,505801,1691990,956104,445364,0,131795
Louisiana1992,1992,Louisiana,204.1402113,Mathematics,4,0,3341253,367822,1848734,1124697,3362853,1888349,986486,0,135305
District of Columbia2003,2003,District of Columbia,204.9198504,Mathematics,4,67522,1114061,152599,0,961462,1105963,473414,406078,32193,194278
Alabama1992,1992,Alabama,208.3278759,Mathematics,4,0,2678885,304177,1659028,715680,2653798,1481703,735036,0,174053
California1992,1992,California,208.3989609,Mathematics,4,0,26260025,2072470,16546514,7641041,27138832,14358922,8520926,0,2044688
Mississippi1996,1996,Mississippi,208.4341186,Mathematics,4,503602,2241561,295014,1285429,661118,2268726,1238512,599427,166353,231093
Louisiana1996,1996,Louisiana,209.02067,Mathematics,4,796087,3879633,468363,1978056,1433214,3815375,2078321,1117936,299287,236616
California1996,1996,California,209.1290827,Mathematics,4,5460484,31282981,2603882,17061474,11617625,31561692,16880730,9222569,2362407,2580639
Arkansas1992,1992,Arkansas,210.2060281,Mathematics,4,0,1711959,178571,958785,574603,1743022,964323,483488,0,145212
Tennessee1992,1992,Tennessee,210.9482274,Mathematics,4,0,3080490,308571,1305381,1466538,3132516,1830264,799825,0,232437
Mississippi2000,2000,Mississippi,210.9703503,Mathematics,4,499362,2743284,368830,1504225,870229,2996474,1524728,810371,183118,421075
District of Columbia2005,2005,District of Columbia,211.1222985,Mathematics,4,62306,1109605,167922,0,941683,1085658,459063,450060,38671,134417
Alabama1996,1996,Alabama,211.6469735,Mathematics,4,735912,3365113,334858,2138717,891538,3572283,1987018,935115,322883,286699
South Carolina1992,1992,South Carolina,212.4967138,Mathematics,4,0,2842626,249903,1350148,1242575,2922293,1544232,768292,0,261644
North Carolina1992,1992,North Carolina,212.8844899,Mathematics,4,0,5236099,389145,3283378,1563576,5418687,2847638,1422278,0,774194
South Carolina1996,1996,South Carolina,213.1944149,Mathematics,4,635678,3594408,287181,1870037,1437190,3493720,1820849,986157,235742,367884
New Mexico1992,1992,New Mexico,213.2990899,Mathematics,4,0,1330091,161520,990653,177918,1339829,683253,432392,0,139206
California2000,2000,California,213.5651251,Mathematics,4,5941946,46628207,4024940,26877920,15725347,45829753,23514388,12429070,2269603,5849441
Florida1992,1992,Florida,213.6897512,Mathematics,4,0,11506299,788420,5683949,5033930,11305642,5166374,3410440,0,1667826
District of Columbia2007,2007,District of Columbia,213.6988988,Mathematics,4,56943,1148358,134700,0,1013658,1140506,491992,437772,40703,167103
New Mexico1996,1996,New Mexico,213.844025,Mathematics,4,329661,1750519,215525,1281567,253427,1642517,798365,519816,81877,218014
New Mexico2000,2000,New Mexico,213.8683008,Mathematics,4,324489,2191695,296222,1571088,324385,2165031,1048533,727644,101479,255735
Hawaii1992,1992,Hawaii,214.0566661,Mathematics,4,0,996809,71273,903443,22093,1040121,536115,291376,0,126212
Hawaii1996,1996,Hawaii,214.9655616,Mathematics,4,187104,1199019,91391,1079097,28531,1231550,671105,328131,103048,129266
Delaware1996,1996,Delaware,215.0251017,Mathematics,4,108461,860410,48796,567123,244491,823530,447461,245924,34748,72077
Kentucky1992,1992,Kentucky,215.0481577,Mathematics,4,0,2642902,289902,1643109,709891,2518082,1343438,817871,0,136694
Arizona1992,1992,Arizona,215.253932,Mathematics,4,0,3258079,297888,1369815,1590376,3401580,1435908,1007732,0,609114
West Virginia1992,1992,West Virginia,215.2689284,Mathematics,4,0,1585099,130117,1021803,433179,1587968,835186,465429,0,156015
Rhode Island1992,1992,Rhode Island,215.4492482,Mathematics,4,0,883073,43545,329810,509718,863404,556787,265279,0,14685
Georgia1996,1996,Georgia,215.4558617,Mathematics,4,1311126,7764687,516518,4086584,3161585,7934236,4118122,2125775,509934,1042930
Georgia1992,1992,Georgia,215.5949062,Mathematics,4,0,5536901,398701,2798674,2339526,5535942,3043984,1559059,0,526644
Florida1996,1996,Florida,215.7635826,Mathematics,4,2175352,13684457,942159,6671487,6070811,13936240,6380643,4230355,992115,2042385
