,YEAR,STATE,AVG_SCORE,TEST_SUBJECT,TEST_YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,EXPENSE_PER_STUDENT
484,1996,District of Columbia,232.8315095,Mathematics,8,79802,678874,57870,703245,334893,4.196548958672715
485,2000,District of Columbia,234.4287981,Mathematics,8,70762,881423,184825,858807,318260,4.49761171250106
486,1992,District of Columbia,234.9246213,Mathematics,8,0,709480,64749,742893,329160,5.713752923891132
487,2003,District of Columbia,243.0596382,Mathematics,8,67522,1114061,152599,1105963,473414,7.011255590770416
488,2005,District of Columbia,245.2157808,Mathematics,8,62306,1109605,167922,1085658,459063,7.367877892979809
489,1992,Mississippi,246.4580354,Mathematics,8,0,1684706,277706,1691990,956104,5.713752923891132
490,2007,District of Columbia,248.1987424,Mathematics,8,56943,1148358,134700,1140506,491992,8.640078675166395
491,1992,Louisiana,249.9839259,Mathematics,8,0,3341253,367822,3362853,1888349,5.713752923891132
492,1996,Mississippi,250.2154891,Mathematics,8,503602,2241561,295014,2268726,1238512,2.459307151282163
493,1992,Alabama,252.1875224,Mathematics,8,0,2678885,304177,2653798,1481703,5.713752923891132
494,1996,Louisiana,252.3803947,Mathematics,8,796087,3879633,468363,3815375,2078321,2.6106706930272696
495,2009,District of Columbia,253.5951869,Mathematics,8,44331,801008,75856,805362,330698,7.459746001669261
496,2000,Mississippi,254.0339003,Mathematics,8,499362,2743284,368830,2996474,1524728,3.0533520772505716
497,1992,Arkansas,256.3120904,Mathematics,8,0,1711959,178571,1743022,964323,5.713752923891132
498,1996,Alabama,256.5948632,Mathematics,8,735912,3365113,334858,3572283,1987018,2.7000755525117133
499,1992,Hawaii,257.4108874,Mathematics,8,0,996809,71273,1040121,536115,5.713752923891132
500,1992,North Carolina,258.4053748,Mathematics,8,0,5236099,389145,5418687,2847638,5.713752923891132
501,1992,Tennessee,258.8280481,Mathematics,8,0,3080490,308571,3132516,1830264,5.713752923891132
502,2000,Louisiana,258.9820018,Mathematics,8,750755,4785331,556240,4807097,2601684,3.465423473703139
503,1992,West Virginia,259.0864484,Mathematics,8,0,1585099,130117,1587968,835186,5.713752923891132
504,1992,Georgia,259.3594336,Mathematics,8,0,5536901,398701,5535942,3043984,5.713752923891132
505,1992,New Mexico,259.6067177,Mathematics,8,0,1330091,161520,1339829,683253,5.713752923891132
506,2000,New Mexico,259.844673,Mathematics,8,324489,2191695,296222,2165031,1048533,3.2313360391261337
507,1992,Florida,259.9088482,Mathematics,8,0,11506299,788420,11305642,5166374,5.713752923891132
508,2011,District of Columbia,260.4668778,Mathematics,8,44199,1283071,155505,1297175,525185,11.88228240457929
509,1992,South Carolina,260.772544,Mathematics,8,0,2842626,249903,2922293,1544232,5.713752923891132
510,1996,South Carolina,260.7754476,Mathematics,8,635678,3594408,287181,3493720,1820849,2.86442035118409
511,1992,California,260.8922468,Mathematics,8,0,26260025,2072470,27138832,14358922,5.713752923891132
512,2003,Mississippi,260.9119336,Mathematics,8,491623,3260771,482904,3205193,1702193,3.462394965247761
513,2000,Arkansas,261.3637127,Mathematics,8,450751,2844855,254735,2683400,1531232,3.397068447990132
514,1996,Arkansas,261.6527453,Mathematics,8,452907,2183384,192152,2297381,1264275,2.791467122389365
515,2003,Alabama,261.9390222,Mathematics,8,727900,5196054,567704,5298932,2817111,3.8701895864816596
516,1996,New Mexico,261.9703667,Mathematics,8,329661,1750519,215525,1642517,798365,2.421775702919059
517,1996,Hawaii,262.1300817,Mathematics,8,187104,1199019,91391,1231550,671105,3.5868019924747734
518,2000,Alabama,262.1582055,Mathematics,8,730184,4885917,425978,5003267,2551713,3.494616425448928
519,2000,California,262.1710266,Mathematics,8,5941946,46628207,4024940,45829753,23514388,3.9573547117392183
520,2005,Alabama,262.2111,Mathematics,8,729342,5889966,665924,5904664,3053380,4.186485900990208
521,1992,Kentucky,262.2412816,Mathematics,8,0,2642902,289902,2518082,1343438,5.713752923891132
522,2005,Mississippi,262.4562427,Mathematics,8,494382,3639643,552628,3610904,1935459,3.914905882495722
523,1996,Georgia,262.4660209,Mathematics,8,1311126,7764687,516518,7934236,4118122,3.1409048405721496
524,1996,California,262.7724784,Mathematics,8,5460484,31282981,2603882,31561692,16880730,3.0914347519377405
525,2000,Hawaii,262.7725605,Mathematics,8,185860,1404895,127042,1363511,765134,4.11672226406973
526,1992,Delaware,262.8685854,Mathematics,8,0,645233,45945,638784,372722,5.713752923891132
527,2015,District of Columbia,263.0597763,Mathematics,8,46155,1382282,146366,1360942,557345,12.075506445672191
